Date,"Binance Coin",Bitcoin,Cardano,Dogecoin,Ethereum,Polkadot,Solana,Tether,"USD Coin",XRP
"2021-02-07 00:00",69.0036574,38679.28374661,0.65064322,0.07198749,1607.83394835,19.81446927,6.19254639,1.00011813,0.99825388,0.42271964
"2021-02-08 00:00",75.88823544,43038.01960686,0.6681891,0.0771638,1675.45909235,22.11779474,7.86825785,0.99992626,0.99846153,0.42710742
"2021-02-09 00:00",107.91428735,46508.4061711,0.68804853,0.07368754,1768.34099443,23.10358347,7.53572885,1.00056816,0.99934544,0.45984858
"2021-02-10 00:00",128.19678253,45184.2232895,0.87006926,0.07383436,1740.78540169,23.30500875,8.39273543,1.00224901,1.00020151,0.4991336
"2021-02-11 00:00",124.82555271,47155.16250508,0.93200495,0.07135224,1780.07642176,25.1269217,9.07057638,1.00258157,1.00076229,0.51945709
"2021-02-12 00:00",133.73478443,47561.7155042,0.91793941,0.06843435,1819.56081434,27.99484765,9.42576003,1.00282236,1.00020871,0.58291745
"2021-02-13 00:00",133.17915291,47226.73609674,0.90200602,0.06808414,1819.17646877,28.51991105,8.91250097,1.00311751,1.00033683,0.61305785
"2021-02-14 00:00",134.97638403,48715.78754514,0.86075773,0.06035369,1820.4869814,27.71724579,8.72382367,1.00279289,0.9999359,0.59870933
"2021-02-15 00:00",130.68629852,48109.55324214,0.84996935,0.05774421,1787.67148204,27.82288417,8.84483712,1.00318528,1.00023801,0.56000503
"2021-02-16 00:00",130.67872653,49208.22722166,0.87902161,0.05545074,1786.50589224,29.913607,8.43570107,1.00343853,1.00099778,0.53256741
"2021-02-17 00:00",157.37927114,51631.55435227,0.87728085,0.05105338,1825.83744608,31.32923151,8.25211012,1.0026525,1.00094088,0.53607537
"2021-02-18 00:00",192.46044391,52220.46595155,0.92503104,0.05725841,1928.56954408,31.45731283,9.54154892,1.00163774,1.00025962,0.53948857
"2021-02-19 00:00",306.8330994,54727.16800802,0.93122099,0.05597363,1956.14036038,33.52727611,11.14139244,1.00170276,1.00010359,0.56223427
"2021-02-20 00:00",273.04631529,56649.93041546,1.12074232,0.0557977,1976.23694302,39.44466281,10.07000551,1.00317042,1.00011155,0.54141625
"2021-02-21 00:00",288.8465944,57638.66938355,1.11210653,0.05650327,1946.2155546,39.14404995,11.51270207,1.00427089,1.00054656,0.54190758
"2021-02-22 00:00",262.3007373,53996.43292282,1.04871253,0.05403289,1772.41682219,36.4021327,12.86523036,1.00282245,1.00004238,0.5771414
"2021-02-23 00:00",223.49494774,48605.19430718,0.95325873,0.04729521,1552.4471608,33.0641528,15.18182492,1.00239,0.99988389,0.47324774
"2021-02-24 00:00",253.44321938,49739.05761667,1.03637503,0.05646788,1627.9909006,34.27990788,17.16516581,1.00297067,1.00021918,0.47699383
"2021-02-25 00:00",243.3768327,49167.02066031,1.0959897,0.05335107,1566.2659374,32.93589741,14.94991902,1.00466817,1.00123151,0.46072752
"2021-02-26 00:00",224.76023861,46696.91564379,1.20005085,0.05097253,1474.34788099,31.13463329,13.83758368,1.00464131,1.00196435,0.43463129
"2021-02-27 00:00",229.06874617,47042.97696413,1.36133067,0.05071797,1489.2426759,34.13972541,13.20551606,1.00472097,1.00234061,0.44514896
"2021-02-28 00:00",211.56188665,45158.32984836,1.29086818,0.04824677,1397.77792257,32.76039089,12.75860883,1.00546345,1.00207507,0.41985713
"2021-03-01 00:00",247.74241648,48529.06183908,1.2853496,0.05006885,1525.4528052,34.86225384,15.23110074,1.00278894,1.00092985,0.4385748
"2021-03-02 00:00",240.73788755,48416.5127405,1.22114126,0.0507104,1514.84853534,36.11058286,14.21230754,1.0014577,0.99960565,0.43805795
"2021-03-03 00:00",243.93709686,50689.93748056,1.2310796,0.05091972,1586.83618619,37.36431619,14.09321674,1.00060458,0.99943591,0.45083148
"2021-03-04 00:00",233.3268679,49177.11122429,1.13563145,0.05031038,1556.49118558,36.02955899,13.30907825,1.00435805,1.0017122,0.47471484
"2021-03-05 00:00",219.5241697,47784.73292643,1.12906505,0.04885791,1494.45543043,32.78257442,12.81468683,1.00397959,1.00207893,0.45646296
"2021-03-06 00:00",221.91783831,48167.81155251,1.12971645,0.05054625,1605.17955845,32.86347515,12.79113709,1.00184143,1.00074583,0.45994249
"2021-03-07 00:00",231.79277143,50025.49384567,1.12747711,0.05074286,1660.87031573,34.03009656,13.33699938,0.99997602,1.000341,0.45882725
"2021-03-08 00:00",231.35110091,50698.20276106,1.12222527,0.05679235,1738.53577071,33.75328009,13.62247147,1.00139433,1.00063119,0.46908087
"2021-03-09 00:00",274.74015591,53395.98746306,1.15598288,0.05709312,1805.43289559,36.49136826,14.84446475,0.99815306,0.99964699,0.47459074
"2021-03-10 00:00",273.52641662,55087.69001628,1.12986466,0.05529229,1791.48160327,37.2435897,14.39216648,0.99936014,0.99962152,0.46088814
"2021-03-11 00:00",282.77873487,56344.88145605,1.10549546,0.05480828,1783.48485182,36.18151604,15.5793153,1.00006084,0.99927082,0.44904769
"2021-03-12 00:00",263.07241669,56538.83034628,1.04642045,0.05501582,1753.37204084,35.30723949,14.99415829,1.00321997,0.99998843,0.44122754
"2021-03-13 00:00",269.218511,59360.53777606,1.08151962,0.05716101,1866.97198172,36.55115417,15.22960783,0.99423071,0.99505017,0.45120595
"2021-03-14 00:00",263.37876398,59472.88525678,1.05725095,0.05914498,1851.571489,36.19845006,14.53343284,0.99740026,0.99718185,0.44409142
"2021-03-15 00:00",254.59611336,56553.47036579,1.03417759,0.05679319,1787.87725818,34.86212526,14.22204056,1.00313835,1.00054126,0.43807907
"2021-03-16 00:00",250.93453651,55441.88282074,1.18755962,0.0574066,1773.16923011,34.04079803,14.00917332,1.00225764,1.00062466,0.46778937
"2021-03-17 00:00",255.06551936,56594.7908546,1.30286174,0.05729878,1782.38793964,35.09125946,13.89972929,0.9993051,0.99880765,0.46599388
"2021-03-18 00:00",261.41385638,57815.89968406,1.28588764,0.05739982,1781.54429906,35.66742905,14.16873717,1.00029867,0.99970216,0.47226699
"2021-03-19 00:00",260.54315506,58161.69746016,1.27917021,0.0581585,1805.04263411,37.53712369,14.33104346,1.00171454,1.0002164,0.4713691
"2021-03-20 00:00",259.14576,58053.16166036,1.22035102,0.05841667,1814.32974418,37.94120386,14.64178135,1.00324938,0.99979444,0.51250084
"2021-03-21 00:00",260.05092909,57153.63612698,1.19180606,0.05756019,1783.09676514,36.56279605,14.6944856,1.01704165,1.00127039,0.51662451
"2021-03-22 00:00",258.45729307,56159.48167563,1.13114979,0.05653068,1738.88542833,36.29921278,15.17479047,1.00492398,1.00034068,0.56740681
"2021-03-23 00:00",251.8707667,54646.86672339,1.12175652,0.05436139,1683.31419173,34.72885588,14.59852324,1.00352904,1.00174012,0.5658684
"2021-03-24 00:00",250.10106276,54113.81279709,1.09424666,0.05356058,1630.08804247,31.29781711,14.46293585,1.00469461,1.0014937,0.51196324
"2021-03-25 00:00",231.41894009,51588.2326033,1.09304225,0.05079488,1578.01153779,29.37643085,12.61756105,1.00355131,1.00117351,0.50555902
"2021-03-26 00:00",243.13211159,53340.15677941,1.18592397,0.05272669,1642.59365968,31.66125476,14.74084765,1.00093074,1.00026006,0.55496802
"2021-03-27 00:00",256.46725294,54750.17039538,1.15670949,0.05345956,1672.16536553,31.63561312,16.08845222,0.99833636,0.99959889,0.54958116
"2021-03-28 00:00",260.60701036,55153.61777981,1.16866328,0.05338978,1674.98398356,31.77464511,18.8357488,0.99962261,0.9999653,0.54967685
"2021-03-29 00:00",264.24936367,58185.40095662,1.21681788,0.05528311,1800.00122492,33.74435038,18.43240402,0.99721939,1.00000925,0.58117507
"2021-03-30 00:00",289.28366911,57684.65263384,1.19049079,0.05303258,1793.91840708,32.56994051,18.85222824,0.99920184,1.00054517,0.56756043
"2021-03-31 00:00",289.94816811,57763.6290327,1.16542211,0.05225508,1841.08380938,35.14523956,18.46372021,1.00032426,0.99951091,0.55515701
