Date,"Binance Coin",Bitcoin,Cardano,Dogecoin,Ethereum,Tether,"USD Coin",XRP
"2019-09-03 00:00",22.23457945,10477.51460344,0.04532857,0.0025382,177.92498429,1.00194374,0.99150351,0.26008772
"2019-09-05 00:00",22.38561018,10607.14247166,0.04438289,0.0025386,174.49957464,0.99837148,0.99723738,0.25561354
"2019-09-07 00:00",22.54284675,10524.57587615,0.0463838,0.00257576,177.71254633,1.00146915,1.0204348,0.26004572
"2019-09-09 00:00",22.09970401,10249.45780351,0.04637679,0.00247748,180.95628795,1.00154673,0.99924309,0.25983617
"2019-09-11 00:00",20.87393609,10102.70963913,0.04444614,0.00234677,178.5436364,0.99944795,0.99582088,0.25408758
"2019-09-13 00:00",21.02806952,10418.70474503,0.04559857,0.00249008,182.98606651,1.00153459,1.01129063,0.25761114
"2019-09-15 00:00",20.72627754,10292.64472215,0.04680088,0.0025213,189.96228935,1.00450675,1.00539749,0.25980826
"2019-09-17 00:00",21.65826222,10412.6512295,0.0509903,0.00285464,208.81330718,1.00083474,1.02309352,0.29474084
"2019-09-19 00:00",21.28553425,10103.52794218,0.05098998,0.00272201,214.79627274,1.00073197,0.9920618,0.29625995
"2019-09-21 00:00",20.79146847,10011.77782474,0.05088995,0.00263342,213.86613185,1.00115688,0.99128895,0.28534345
"2019-09-23 00:00",18.56893263,9362.13191833,0.04515477,0.00234073,192.25006756,1.00019174,0.9642806,0.26184018
"2019-09-25 00:00",16.06856912,8456.15972004,0.03850184,0.00236567,168.59981643,1.00118952,1.02012515,0.24322305
"2019-09-27 00:00",15.56581599,8143.65158622,0.03866432,0.0022218,170.32089521,1.00103131,1.00257229,0.24081993
"2019-09-29 00:00",15.46156363,8113.26607318,0.03810882,0.00229449,171.84617913,1.00003595,1.00819558,0.24561078
"2019-10-01 00:00",15.76779842,8389.35355288,0.03853601,0.00237863,181.156109,1.00208536,0.99990328,0.25665398
"2019-10-03 00:00",15.69821022,8297.25681253,0.0390997,0.00240621,176.77080207,1.00402404,1.04155341,0.24992267
"2018-10-08 00:00",,,,,,,1.00449105,
