Date,crypto,cryptocurrency,bitcoin,BTC,ethereum,ETH,binance,BNB,cardano,ADA,tether,USDT,XRP,solana,SOL,polkadot,DOT,USDC,doge,dogecoin,v(Binance Coin),v(Bitcoin),v(Cardano),v(Dogecoin),v(Ethereum),v(Polkadot),v(Solana),v(Tether),v(USD Coin),v(XRP)
2020-12-23,12.285714285714286,15.714285714285714,33.142857142857146,6.857142857142857,16.857142857142858,24.857142857142854,2.0,37.0,6.857142857142857,38.142857142857146,31.0,13.285714285714286,46.142857142857146,8.85714285714286,76.42857142857142,24.0,75.42857142857142,25.71428571428572,6.42857142857143,2.8571428571428568,32.52632006,23611.44863899,0.14708608,0.00426183,609.95952241,4.97570153,1.22757551,1.00113649,1.00050203,0.3222073
2020-12-24,12.714285714285715,16.285714285714285,34.85714285714286,7.142857142857142,18.142857142857142,26.14285714285714,2.0,38.0,7.142857142857142,37.85714285714286,32.0,13.714285714285715,45.85714285714286,9.142857142857146,76.57142857142856,28.0,75.57142857142856,27.285714285714292,6.571428571428573,3.1428571428571423,31.91257843,23301.8551146,0.14241476,0.00410554,587.52153535,4.91125545,1.34314154,1.00118017,1.00014514,0.28473837
2020-12-25,13.142857142857144,16.857142857142858,36.57142857142858,7.428571428571428,19.428571428571427,27.428571428571423,2.0,39.0,7.428571428571428,37.57142857142858,33.0,14.142857142857144,45.57142857142858,9.428571428571432,76.7142857142857,32.0,75.7142857142857,28.857142857142865,6.714285714285716,3.428571428571428,32.74183863,24172.91605076,0.15781439,0.00452872,620.14001486,5.14822208,1.42449387,1.00113856,1.00002192,0.33438605
2020-12-26,13.571428571428573,17.42857142857143,38.28571428571429,7.7142857142857135,20.71428571428571,28.714285714285708,2.0,40.0,7.7142857142857135,37.28571428571429,34.0,14.571428571428573,45.28571428571429,9.714285714285719,76.85714285714283,36.0,75.85714285714283,30.428571428571438,6.857142857142859,3.7142857142857135,33.49725911,25531.75605124,0.15510753,0.00453975,635.30026722,5.19206545,1.34806106,1.00001822,0.99946315,0.30628691
2020-12-27,14.0,18.0,40.0,8.0,22.0,30.0,2.0,41.0,8.0,37.0,35.0,15.0,45.0,10.0,77.0,40.0,76.0,32.0,7.0,4.0,33.63410395,26970.75997851,0.15761237,0.00459204,666.29176552,5.20318145,1.33372047,0.99661283,0.99784861,0.28980621
2020-12-28,15.142857142857142,19.714285714285715,43.57142857142857,8.571428571428571,27.142857142857142,35.0,2.142857142857143,41.0,9.428571428571429,38.285714285714285,37.714285714285715,16.0,43.857142857142854,10.0,76.85714285714286,40.285714285714285,75.57142857142857,34.57142857142857,7.428571428571429,4.285714285714286,35.46132512,26976.98757027,0.16593469,0.00464409,723.21689208,5.8964175,1.47125746,0.99934812,0.99983689,0.27636928
2020-12-29,16.285714285714285,21.42857142857143,47.14285714285714,9.142857142857142,32.285714285714285,40.0,2.2857142857142856,41.0,10.857142857142858,39.57142857142857,40.42857142857143,17.0,42.71428571428571,10.0,76.71428571428572,40.57142857142857,75.14285714285714,37.14285714285714,7.857142857142858,4.571428571428571,38.29203453,26805.85531258,0.18704803,0.00448027,722.01272196,6.69736774,1.63181573,0.99987019,0.99962037,0.22031647
2020-12-30,17.428571428571427,23.142857142857146,50.71428571428571,9.714285714285714,37.42857142857143,45.0,2.4285714285714284,41.0,12.285714285714286,40.857142857142854,43.142857142857146,18.0,41.57142857142856,10.0,76.57142857142858,40.857142857142854,74.71428571428571,39.71428571428571,8.285714285714286,4.857142857142857,37.80100754,28317.04107464,0.18299123,0.00459683,740.00637581,7.32652318,1.56541952,0.99951674,0.99976174,0.21172796
2020-12-31,18.57142857142857,24.85714285714286,54.28571428571428,10.285714285714285,42.57142857142858,50.0,2.571428571428571,41.0,13.714285714285715,42.14285714285714,45.85714285714286,19.0,40.428571428571416,10.0,76.42857142857144,41.14285714285714,74.28571428571428,42.28571428571428,8.714285714285715,5.142857142857142,37.61873754,28916.0969828,0.18059617,0.00465283,742.33289033,8.19030495,1.51784773,1.00152419,1.0005822,0.21821537
2021-01-01,19.71428571428571,26.571428571428577,57.85714285714285,10.857142857142856,47.71428571428572,55.0,2.714285714285714,41.0,15.142857142857144,43.42857142857142,48.57142857142858,20.0,39.28571428571427,10.0,76.2857142857143,41.42857142857142,73.85714285714285,44.85714285714285,9.142857142857144,5.428571428571428,38.12908476,29334.08803938,0.18024012,0.005442,739.83358225,8.79330854,1.77870504,1.00289402,1.00063521,0.23609054
2021-01-02,20.857142857142854,28.285714285714292,61.428571428571416,11.428571428571427,52.85714285714287,60.0,2.8571428571428568,41.0,16.571428571428573,44.71428571428571,51.28571428571429,21.0,38.142857142857125,10.0,76.14285714285717,41.71428571428571,73.42857142857142,47.428571428571416,9.571428571428573,5.7142857142857135,37.93081475,31121.72891415,0.17669555,0.00918703,756.43060735,8.7814894,1.75130173,0.99724909,0.99617094,0.228141
2021-01-03,22.0,30.0,65.0,12.0,58.0,65.0,3.0,41.0,18.0,46.0,54.0,22.0,37.0,10.0,76.0,42.0,73.0,50.0,10.0,6.0,39.64660949,33219.1422394,0.18931428,0.01114464,887.59790235,9.3739035,2.15823825,0.98813704,0.98988886,0.22314484
2021-01-04,21.714285714285715,29.571428571428573,65.0,11.857142857142858,55.857142857142854,63.0,3.0,41.0,17.428571428571427,46.857142857142854,56.0,22.428571428571427,35.285714285714285,9.571428571428571,76.42857142857143,46.57142857142857,72.71428571428571,50.714285714285715,9.571428571428571,5.571428571428571,40.4380342,31753.77898189,0.21687483,0.00971996,1010.4665939,9.66129705,2.41147205,0.99891207,0.99847175,0.23551531
2021-01-05,21.42857142857143,29.142857142857146,65.0,11.714285714285715,53.71428571428571,61.0,3.0,41.0,16.857142857142854,47.71428571428571,58.0,22.857142857142854,33.57142857142857,9.142857142857142,76.85714285714286,51.14285714285714,72.42857142857142,51.42857142857143,9.142857142857142,5.142857142857142,40.64436526,32703.95687901,0.23792589,0.00956831,1065.22704462,9.58968855,2.16817614,1.00129251,0.99955058,0.23093525
2021-01-06,21.142857142857146,28.71428571428572,65.0,11.571428571428573,51.57142857142856,59.0,3.0,41.0,16.28571428571428,48.57142857142856,60.0,23.28571428571428,31.857142857142854,8.714285714285714,77.28571428571429,55.71428571428571,72.14285714285712,52.142857142857146,8.714285714285714,4.7142857142857135,41.56625543,35281.744654,0.29003904,0.01019781,1151.1168254,9.88020763,1.98058801,1.00233446,0.99925783,0.24367123
2021-01-07,20.85714285714286,28.285714285714292,65.0,11.42857142857143,49.428571428571416,57.0,3.0,41.0,15.71428571428571,49.428571428571416,62.0,23.714285714285708,30.14285714285714,8.285714285714285,77.71428571428572,60.28571428571428,71.85714285714283,52.85714285714286,8.285714285714285,4.285714285714285,43.471266,38500.21233702,0.32407187,0.01007642,1224.21696854,9.98047281,2.34249352,1.00166224,0.99809424,0.31769905
2021-01-08,20.571428571428577,27.857142857142865,65.0,11.285714285714288,47.28571428571427,55.0,3.0,41.0,15.142857142857139,50.28571428571427,64.0,24.142857142857135,28.428571428571423,7.857142857142856,78.14285714285715,64.85714285714285,71.57142857142854,53.57142857142858,7.857142857142856,3.8571428571428563,42.48978513,39911.24061688,0.29996901,0.00953208,1200.5076303,9.3450486,3.24143046,1.00266898,0.99801585,0.31990909
2021-01-09,20.285714285714292,27.428571428571438,65.0,11.142857142857146,45.142857142857125,53.0,3.0,41.0,14.571428571428568,51.142857142857125,66.0,24.571428571428562,26.714285714285708,7.428571428571427,78.57142857142858,69.42857142857142,71.28571428571425,54.28571428571429,7.428571428571427,3.428571428571428,43.198096,40467.94118697,0.31697504,0.01022416,1234.00046668,9.38769352,3.31708594,0.99873715,0.99614274,0.32457562
2021-01-10,20.0,27.0,65.0,11.0,43.0,51.0,3.0,41.0,14.0,52.0,68.0,25.0,25.0,7.0,79.0,74.0,71.0,55.0,7.0,3.0,43.49588391,39344.9744609,0.32150695,0.01023893,1297.88789555,9.53589597,3.50314979,0.99863989,0.99658138,0.33214555
2021-01-11,19.571428571428573,26.285714285714285,61.57142857142857,10.571428571428571,42.42857142857143,50.142857142857146,2.857142857142857,41.0,14.142857142857142,52.0,64.71428571428571,24.0,24.285714285714285,7.0,78.57142857142857,75.57142857142857,70.57142857142857,52.142857142857146,6.857142857142857,2.857142857142857,38.09278684,34283.2125896,0.26733312,0.00841974,1062.82227264,8.03155596,2.92508895,1.00223669,0.99985926,0.28436519
